date,action,symbol,qty,price,gross_value,cash_before,cash_after,position_after_qty,day_signal
2023-01-03,BUY,AAA.SZ,13933.302664591001,23.92349763422856,333333.3333333333,1000000.0,666666.6666666667,13933.302664591001,KEEP
2023-02-17,SELL,AAA.SZ,13933.302664591001,23.72070457850564,330507.7563096686,666666.6666666667,997174.4229763353,0.0,SELL
2023-02-20,BUY,AAA.SZ,13902.865190086684,23.908127553624983,332391.4743254451,997174.4229763353,664782.9486508903,13902.865190086684,BUY
2023-02-21,SELL,AAA.SZ,13902.865190086684,23.87914872667496,331988.5856009921,664782.9486508903,996771.5342518823,0.0,SELL
2023-02-28,BUY,AAA.SZ,14322.430617073393,23.198379309157605,332257.1780839608,996771.5342518823,664514.3561679216,14322.430617073393,KEEP
2023-03-27,SELL,AAA.SZ,14322.430617073393,24.29026865217562,347895.68744085816,664514.3561679216,1012410.0436087798,0.0,SELL
2023-04-06,BUY,AAA.SZ,14429.82791092885,23.38697430207516,337470.0145362599,1012410.0436087798,674940.0290725199,14429.82791092885,KEEP
2023-09-06,SELL,AAA.SZ,14429.82791092885,27.05524993879676,390402.60070400557,674940.0290725199,1065342.6297765253,0.0,SELL
2023-09-11,BUY,AAA.SZ,13060.794936500932,27.189325891111935,355114.2099255084,1065342.6297765253,710228.419851017,13060.794936500932,KEEP
2023-10-10,SELL,AAA.SZ,13060.794936500932,29.30801962181456,382786.0342754655,710228.419851017,1093014.4541264824,0.0,SELL
2023-10-11,BUY,AAA.SZ,12425.669864641519,29.32140925554884,364338.15137549414,1093014.4541264824,728676.3027509882,12425.669864641519,KEEP
2023-10-12,SELL,AAA.SZ,12425.669864641519,29.576531309724125,367508.2137958654,728676.3027509882,1096184.5165468536,0.0,SELL
2023-10-23,BUY,AAA.SZ,12874.732346377823,28.380771655556117,365394.8388489512,1096184.5165468536,730789.6776979023,12874.732346377823,KEEP
2023-11-21,SELL,AAA.SZ,12874.732346377823,29.37447667714636,378188.5250331772,730789.6776979023,1108978.2027310794,0.0,SELL
2023-11-22,BUY,AAA.SZ,12747.94236763994,28.997573902492928,369659.4009103598,1108978.2027310794,739318.8018207196,12747.94236763994,KEEP
